statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
23621;Gesundheitspersonalrechnung;JAHR;Jahr;2013;DINSG;Deutschland insgesamt;DG;Deutschland;ALT049;Altersgruppen (u30-60m);ALT040B50;40 bis unter 50 Jahre;KB10G5;Berufe im Gesundheitswesen (KB2010), 5-Steller;KB10-81352;Geburtshilfe, Entbindungspflege - Fachkraft;0;1000;BES022;Gesundheitspersonal (Vollzeitäquivalente);e
23621;Gesundheitspersonalrechnung;JAHR;Jahr;2013;DINSG;Deutschland insgesamt;DG;Deutschland;ALT049;Altersgruppen (u30-60m);ALT000B30;unter 30 Jahre;KB10G5;Berufe im Gesundheitswesen (KB2010), 5-Steller;KB10-81103;Medizinische Fachangestellte (oS) - Spezialist;4;1000;BES022;Gesundheitspersonal (Vollzeitäquivalente);e
23621;Gesundheitspersonalrechnung;JAHR;Jahr;2013;DINSG;Deutschland insgesamt;DG;Deutschland;ALT049;Altersgruppen (u30-60m);ALT040B50;40 bis unter 50 Jahre;KB10G5;Berufe im Gesundheitswesen (KB2010), 5-Steller;KB10-82502;Medizintechnik (oS) - Fachkraft;0;1000;BES022;Gesundheitspersonal (Vollzeitäquivalente);e
23621;Gesundheitspersonalrechnung;JAHR;Jahr;2015;DINSG;Deutschland insgesamt;DG;Deutschland;ALT049;Altersgruppen (u30-60m);ALT050B60;50 bis unter 60 Jahre;KB10G5;Berufe im Gesundheitswesen (KB2010), 5-Steller;KB10-81102;Medizinische Fachangestellte (oS) - Fachkraft;61;1000;BES022;Gesundheitspersonal (Vollzeitäquivalente);e
23621;Gesundheitspersonalrechnung;JAHR;Jahr;2015;DINSG;Deutschland insgesamt;DG;Deutschland;ALT049;Altersgruppen (u30-60m);ALT060UM;60 Jahre und mehr;KB10G5;Berufe im Gesundheitswesen (KB2010), 5-Steller;KB10-82514;Orthopädie- und Rehatechnik - Experte;0;1000;BES022;Gesundheitspersonal (Vollzeitäquivalente);e
23621;Gesundheitspersonalrechnung;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;ALT049;Altersgruppen (u30-60m);ALT040B50;40 bis unter 50 Jahre;KB10G5;Berufe im Gesundheitswesen (KB2010), 5-Steller;KB10-81342;Rettungsdienst - Fachkraft;13;1000;BES022;Gesundheitspersonal (Vollzeitäquivalente);e
23621;Gesundheitspersonalrechnung;JAHR;Jahr;2013;DINSG;Deutschland insgesamt;DG;Deutschland;ALT049;Altersgruppen (u30-60m);ALT060UM;60 Jahre und mehr;KB10G5;Berufe im Gesundheitswesen (KB2010), 5-Steller;KB10-81342;Rettungsdienst - Fachkraft;1;1000;BES022;Gesundheitspersonal (Vollzeitäquivalente);e
23621;Gesundheitspersonalrechnung;JAHR;Jahr;2014;DINSG;Deutschland insgesamt;DG;Deutschland;ALT049;Altersgruppen (u30-60m);ALT030B40;30 bis unter 40 Jahre;KB10G5;Berufe im Gesundheitswesen (KB2010), 5-Steller;KB10-82513;Orthopädie- und Rehatechnik - Spezialist;1;1000;BES022;Gesundheitspersonal (Vollzeitäquivalente);e
23621;Gesundheitspersonalrechnung;JAHR;Jahr;2023;DINSG;Deutschland insgesamt;DG;Deutschland;ALT049;Altersgruppen (u30-60m);ALT040B50;40 bis unter 50 Jahre;KB10G5;Berufe im Gesundheitswesen (KB2010), 5-Steller;KB10-81103;Medizinische Fachangestellte (oS) - Spezialist;2;1000;BES022;Gesundheitspersonal (Vollzeitäquivalente);e
23621;Gesundheitspersonalrechnung;JAHR;Jahr;2015;DINSG;Deutschland insgesamt;DG;Deutschland;ALT049;Altersgruppen (u30-60m);;Insgesamt;KB10G5;Berufe im Gesundheitswesen (KB2010), 5-Steller;KB10-81762;Diät- und Ernährungstherapie - Fachkraft;6;1000;BES022;Gesundheitspersonal (Vollzeitäquivalente);e
23621;Gesundheitspersonalrechnung;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;ALT049;Altersgruppen (u30-60m);ALT030B40;30 bis unter 40 Jahre;KB10G5;Berufe im Gesundheitswesen (KB2010), 5-Steller;KB10-81353;Geburtshilfe, Entbindungspflege - Spezialist;4;1000;BES022;Gesundheitspersonal (Vollzeitäquivalente);e
23621;Gesundheitspersonalrechnung;JAHR;Jahr;2012;DINSG;Deutschland insgesamt;DG;Deutschland;ALT049;Altersgruppen (u30-60m);ALT050B60;50 bis unter 60 Jahre;KB10G5;Berufe im Gesundheitswesen (KB2010), 5-Steller;KB10-81474;Zahnärzte, Kieferorthopäden - Experte;21;1000;BES022;Gesundheitspersonal (Vollzeitäquivalente);e
